Time,Mic,7A,7V,8A,8V,NA,7A,7V,8A,8V,NA,7A,7V,8A,8V,NA,7A,7V,8A,8V,NA
s,Run LEQ,g RMS,g RMS,g RMS,g RMS, g RMS,g Peak,g Peak,g Peak,g Peak, g Peak,mm/s RMS,mm/s RMS,mm/s RMS,mm/s RMS, mm/s RMS,mm/s Peak,mm/s Peak,mm/s Peak,mm/s Peak, mm/s Peak
3675747680,106.384,0.554,0.082,0.996,0.821,0.08,2.128,0.176,3.796,3.261,0.172,8.903,7.714,11.759,5.851,7.376,16.176,18.314,20.597,12.865,19.058
3675747681,107.335,0.964,0.083,1.065,0.897,0.082,4.839,0.179,4.437,3.678,0.172,9.165,7.102,11.916,6.104,7.099,19.363,17.475,21.591,15.971,17.717
3675747682,107.348,0.615,0.083,0.999,0.814,0.081,3.731,0.175,4.029,3.784,0.173,8.958,7.857,12.179,6.077,7.873,17.646,18.885,21.216,13.321,18.77
3675747683,106.534,0.642,0.083,1.01,0.828,0.081,3.402,0.176,4.201,3.42,0.176,8.526,7.774,12.038,5.994,7.756,16.007,18.816,20.391,13.728,18.738
3675747684,106.702,0.723,0.083,1.034,0.856,0.081,3.428,0.18,4.761,3.892,0.169,8.701,8.006,11.828,6.003,7.87,16.592,19.632,21.829,13.588,19.492
3675747685,106.338,0.564,0.083,1.026,0.829,0.082,2.324,0.172,4.338,3.437,0.18,8.491,7.734,12.044,5.941,7.521,16.806,17.983,21.936,12.94,17.767
3675747686,106.478,0.53,0.083,0.977,0.791,0.08,2.171,0.175,3.916,3.291,0.171,9.013,7.657,11.586,5.804,7.797,16.924,18.258,20.063,12.974,17.871
3675747687,107.03,0.524,0.083,0.984,0.791,0.082,1.915,0.178,4.6,3.036,0.171,9.351,7.067,11.412,5.771,7.731,17.424,17.246,19.895,13.157,17.057
3675747688,106.43,0.515,0.084,0.983,0.824,0.081,1.933,0.194,3.729,3.464,0.171,8.867,7.914,11.791,5.906,7.603,15.521,18.638,20.565,13.855,17.532
3675747689,106.437,0.525,0.083,0.964,0.813,0.081,2.245,0.174,4.792,3.272,0.17,9.263,7.248,11.722,5.869,7.235,16.707,18.131,19.896,14.444,19.112
3675747690,106.785,0.515,0.083,0.984,0.792,0.081,2.608,0.183,3.914,3.094,0.169,9.078,8.238,11.778,5.865,7.683,16.214,19.164,21.404,12.714,18.466
3675747691,106.655,0.547,0.083,1.004,0.794,0.081,1.991,0.174,4.072,2.892,0.171,8.984,7.554,11.679,6.015,7.084,16.17,19.023,20.854,15.506,17.335
3675747692,106.958,0.82,0.082,1.046,0.879,0.081,5.765,0.177,5.834,4.674,0.174,9.016,7.976,11.883,5.99,7.737,21.029,19.098,21.905,13.472,19.116
3675747693,106.304,0.614,0.083,0.976,0.83,0.081,2.703,0.174,3.829,3.564,0.172,8.487,7.386,12.254,6.202,6.899,16.571,20.748,21.786,15.557,17.299
3675747694,106.357,0.692,0.081,1.02,0.87,0.081,3.86,0.172,4.151,3.884,0.176,8.663,7.85,12.06,6.191,7.742,17.06,17.702,21.237,14.707,19.845
3675747695,106.531,0.58,0.083,0.999,0.839,0.081,2.441,0.178,3.851,3.508,0.175,8.629,7.678,11.989,6.053,7.411,16.94,21.106,21.4,15.571,18.265
3675747696,106.765,0.627,0.084,1.015,0.84,0.082,2.652,0.189,4.189,3.84,0.175,8.565,8.353,11.728,5.796,7.864,17.249,19.023,20.546,12.805,19.86
3675747697,106.432,0.551,0.082,0.961,0.846,0.081,2.858,0.174,4.003,3.265,0.176,8.681,7.464,11.609,5.941,7.405,16.133,20.631,20.465,15.868,18.08
3675747698,106.728,0.528,0.083,0.934,0.781,0.081,2.07,0.173,3.473,3.563,0.178,8.941,8.37,11.514,5.839,7.996,16.268,20.019,20.824,14.202,19.57
3675747699,106.776,0.51,0.083,0.965,0.789,0.082,1.776,0.179,4.113,3.311,0.177,9.229,7.438,11.597,5.819,6.788,16.897,18.342,20.698,13.162,18.707
3675747700,106.611,0.514,0.084,1.016,0.811,0.081,1.939,0.175,4.271,3.227,0.171,9.044,8.509,11.763,5.891,8.001,16.321,20.306,20.701,12.442,18.768
3675747701,106.654,0.517,0.082,0.965,0.817,0.082,1.977,0.172,3.711,3.35,0.178,9.166,6.785,11.806,5.912,7.627,16.397,16.51,20.628,13.368,19.904
